"arm","stratumId","cases","transitions","statusTransitions","changedFirstTick"
"disabled","ra2web_advanced__hfo-bvb","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":1}","{""candidate_win->candidate_win"":3,""baseline_win->baseline_win"":1,""tick_cap_draw->tick_cap_draw"":4}","0"
"disabled","ra2web_advanced__hfo-corners","8","{""W->W"":0,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":6,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":6}","0"
"disabled","ra2web_advanced__hfo-corners-b","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":6,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":0}","{""tick_cap_draw->tick_cap_draw"":6,""candidate_win->candidate_win"":2}","0"
"disabled","ra2web_advanced__hfo-corners-b-golden","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":4,""candidate_win->candidate_win"":2}","0"
"disabled","ra2web_advanced__hfo-golden","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":1}","{""candidate_win->candidate_win"":3,""baseline_win->baseline_win"":1,""tick_cap_draw->tick_cap_draw"":4}","0"
"disabled","ra2web_advanced__hfo-le","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""candidate_win->candidate_win"":2,""tick_cap_draw->tick_cap_draw"":3}","0"
"disabled","ra2web_advanced__hfo-lvl","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":3,""candidate_win->candidate_win"":2}","0"
"disabled","ra2web_advanced__hfo-original","8","{""W->W"":4,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":2,""candidate_win->candidate_win"":4}","0"
"disabled","ra2web_advanced__hfo-rvr","8","{""W->W"":1,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":5,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":5,""candidate_win->candidate_win"":1}","0"
"disabled","ra2web_advanced__hfo-tvt","8","{""W->W"":5,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":1}","{""baseline_win->baseline_win"":1,""candidate_win->candidate_win"":5,""tick_cap_draw->tick_cap_draw"":2}","0"
"separated_lanes_v2","pinned_supalosa__hfo-bvb","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":0,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":5}","{""baseline_win->baseline_win"":5,""candidate_win->candidate_win"":3}","0"
"separated_lanes_v2","pinned_supalosa__hfo-corners","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":5,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":1}","{""tick_cap_draw->tick_cap_draw"":5,""candidate_win->candidate_win"":2,""baseline_win->baseline_win"":1}","0"
"separated_lanes_v2","pinned_supalosa__hfo-corners-b","8","{""W->W"":1,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":5,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":5,""candidate_win->candidate_win"":1}","0"
"separated_lanes_v2","pinned_supalosa__hfo-corners-b-golden","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":1,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":5}","{""baseline_win->baseline_win"":5,""candidate_win->candidate_win"":2,""tick_cap_draw->tick_cap_draw"":1}","0"
"separated_lanes_v2","pinned_supalosa__hfo-golden","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":2,""candidate_win->candidate_win"":3}","0"
"separated_lanes_v2","pinned_supalosa__hfo-le","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":4,""candidate_win->candidate_win"":2}","0"
"separated_lanes_v2","pinned_supalosa__hfo-lvl","8","{""W->W"":4,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":1,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""candidate_win->candidate_win"":4,""tick_cap_draw->tick_cap_draw"":1}","0"
"separated_lanes_v2","pinned_supalosa__hfo-original","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":3,""candidate_win->candidate_win"":2}","0"
"separated_lanes_v2","pinned_supalosa__hfo-rvr","8","{""W->W"":1,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":6,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":1}","{""baseline_win->baseline_win"":1,""tick_cap_draw->tick_cap_draw"":6,""candidate_win->candidate_win"":1}","0"
"separated_lanes_v2","pinned_supalosa__hfo-tvt","8","{""W->W"":3,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":5,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":0}","{""tick_cap_draw->tick_cap_draw"":5,""candidate_win->candidate_win"":3}","0"
"separated_lanes_v2","pinned_supalosa__pacific-heights","8","{""W->W"":4,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":2,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""candidate_win->candidate_win"":4,""tick_cap_draw->tick_cap_draw"":2,""baseline_win->baseline_win"":2}","0"
"separated_lanes_v2","pinned_supalosa__peak","8","{""W->W"":5,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":0}","{""tick_cap_draw->tick_cap_draw"":3,""candidate_win->candidate_win"":5}","0"
"separated_lanes_v2","pinned_supalosa__south-pacific","8","{""W->W"":0,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":6,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""engine_nonliteral_termination_draw->engine_nonliteral_termination_draw"":1,""tick_cap_draw->tick_cap_draw"":5,""baseline_win->baseline_win"":2}","0"
"separated_lanes_v2","pinned_supalosa__south-pacific-2","8","{""W->W"":0,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":7,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":1}","{""tick_cap_draw->tick_cap_draw"":7,""baseline_win->baseline_win"":1}","0"
"separated_lanes_v2","pinned_supalosa__tour-of-egypt","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":0,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":6}","{""baseline_win->baseline_win"":6,""candidate_win->candidate_win"":2}","0"
"separated_lanes_v2","ra2web_advanced__hfo-bvb","8","{""W->W"":1,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""candidate_win->candidate_win"":1,""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":4}","0"
"separated_lanes_v2","ra2web_advanced__hfo-corners","8","{""W->W"":1,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":5,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":5,""candidate_win->candidate_win"":1}","0"
"separated_lanes_v2","ra2web_advanced__hfo-corners-b","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":6,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":0}","{""candidate_win->candidate_win"":2,""tick_cap_draw->tick_cap_draw"":6}","0"
"separated_lanes_v2","ra2web_advanced__hfo-corners-b-golden","8","{""W->W"":1,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":4}","{""baseline_win->baseline_win"":4,""candidate_win->candidate_win"":1,""tick_cap_draw->tick_cap_draw"":3}","0"
"separated_lanes_v2","ra2web_advanced__hfo-golden","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":3,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":3}","{""baseline_win->baseline_win"":3,""tick_cap_draw->tick_cap_draw"":3,""candidate_win->candidate_win"":2}","0"
"separated_lanes_v2","ra2web_advanced__hfo-le","8","{""W->W"":2,""W->D"":0,""W->L"":0,""D->W"":0,""D->D"":4,""D->L"":0,""L->W"":0,""L->D"":0,""L->L"":2}","{""baseline_win->baseline_win"":2,""tick_cap_draw->tick_cap_draw"":4,""candidate_win->candidate_win"":2}","0"
